The Weeknd,Blinding Lights
Roddy Ricch,The Box
Dua Lipa,Don't Start Now
Post Malone,Circles
Future & Drake,Life Is Good
Tones And I,Dance Monkey
Maroon 5,Memories
Lewis Capaldi,Someone You Loved
Harry Styles,Adore You
Billie Eilish,everything i wanted
Arizona Zervas,Roxanne
Justin Bieber & Quavo,Intentions
Trevor Daniel,Falling
Lewis Capaldi,Before You Go
blackbear,Hot Girl Bummer
Drake,Toosie Slide
Maren Morris,The Bones
Lil Mosey,Blueberry Faygo
Doja Cat,Say So
Camila Cabello & DaBaby,My Oh My
Billie Eilish,Bad Guy
Roddy Ricch & Mustard,High Fashion
Eminem & Juice WRLD,Godzilla
Mustard & Roddy Ricch,Ballin'
SAINt JHN,Roses
Dan & Shay & Justin Bieber,"10,000 Hours"
Halsey,You Should Be Sad
The Weeknd,Heartless
Gabby Barrett,I Hope
Surfaces,Sunday Best
Justin Bieber,Yummy
Selena Gomez,Lose You To Love Me
DaBaby,BOP
Lizzo,Good As Hell
Doja Cat & Nicki Minaj,Say So
Megan Thee Stallion & Beyonce,Savage
Benee & Gus Dapperton,Supalonely
Dua Lipa,Break My Heart
Pop Smoke,Dior
Shawn Mendes & Camila Cabello,Senorita
SAINt JHN,Roses (Imanbek Remix)
DaBaby & Roddy Ricch,Rockstar
Morgan Wallen,Chasin' You
Blake Shelton Duet With Gwen Stefani,Nobody But You
Karol G & Nicki Minaj,Tusa
The Black Eyed Peas & J Balvin,RITMO (Bad Boys For Life)
Lady GaGa,Stupid Love
Travi$ Scott,Highest In The Room
Regard,Ride It
Chris Brown & Drake,No Guidance
Jonas Brothers,What A Man Gotta Do
Lil Baby,Woah
Dua Lipa,Physical
The Scotts,The Scotts
Carly Pearce & Lee Brice,I Hope You're Happy Now
Rod Wave,Heart On Ice
Topic & A7s,Breaking Me
The Weeknd,In Your Eyes
Harry Styles,Watermelon Sugar
Lil Baby,Sum 2 Prove
Lady Gaga & Ariana Grande,Rain On Me
Powfu & Beabadoobee,Death Bed
Powfu & beabadoobee,Death Bed
Jhene Aiko,P*$$y Fairy (OTW)
Ariana Grande & Justin Bieber,Stuck With U
"Jack Harlow & DaBaby, Tory Lanez & Lil Wayne",WHATS POPPIN
Ed Sheeran & Justin Bieber,I Don't Care
H.E.R. & YG,Slide
Kane Brown,Homesick
Ingrid Andress,More Hearts Than Mine
JACKBOYS & Young Thug,OUT WEST
SHAED,Trampoline
Russ & BIA,BEST ON EARTH
Lil Baby,Emotionally Scarred
Luke Combs & Eric Church,Does To Me
StaySolidRocky,Party Girl
Dababy & Roddy Ricch,Rockstar
6ix9ine,Gooba
PARTYNEXTDOOR & Rihanna,Believe It
Khalid & Disclosure,Know Your Worth
Jordan Davis,Slow Dance In A Parking Lot
Lil Nas X & Billy Ray Cyrus,Old Town Road
Meduza & Becky Hill & Goodboys,Lose Control
Megan Thee Stallion,Savage
Sam Hunt,Hard To Forget
Thomas Rhett & Jon Pardi,Beer Can't Fix
Marshmello & Halsey,Be Kind
Brett Young,Catch
Ed Sheeran & Camila Cabello & Cardi B,South Of The Border
Robin Schulz & Alida,In Your Eyes
Luke Bryan,What She Wants Tonight
Jake Owen,Homemade
Doja Cat & Tyga,Juicy
JP Saxe & Julia Michaels,If The World Was Ending
Billie Eilish,No Time To Die
NLE Choppa & Roddy Ricch,Walk Em Down
Old Dominion,One Man Band
"Diplo, Thomas Wesley & Morgan Wallen",Heartless
Young T & Bugsey & Headie One,Don't Rush
The Weeknd,After Hours
Apache 207,Roller
Jack Harlow,WHATS POPPIN
YNW Melly,Suicidal
Lil Uzi Vert,That Way
Bad Bunny,Yo perreo sola
Sam Hunt,Kinfolks
Demi Lovato,I Love Me
Travis Denning,After A Few
Surf Mesa & Emilee,ILY (I Love You Baby)
Bad Bunny,Vete
Lil Uzi Vert,Futsal Shuffle 2020
Nea,Some Say
Juice WRLD & Youngboy Never Broke Again,Bandit
Doja Cat,Boss Bitch
Drake & Giveon,Chicago Freestyle
Miranda Lambert,Bluebird
Twenty One Pilots,Level Of Concern
Lizzo,Truth Hurts
Jonas Brothers,Only Human
Don Toliver,After Party
Lil Baby & 42 Dugg,Grace
Don Toliver,No Idea
Juice WRLD,Righteous
Sam Smith,To Die For
Chris Brown & Young Thug,Go Crazy
BrockHampton,Sugar
Kenny Chesney,Here And Now
Lil Baby & 42 Dugg,We Paid
"Stormzy, Ed Sheeran & Burna Boy",Own It
Jason Aldean,We Back
Ava Max,Kings & Queens
Dustin Lynch,Ridin' Roads
Tones & I,Dance Monkey
Riley Green,I Wish Grandpas Never Died
Black Eyed Peas & J Balvin,RITMO (Bad Boys For Life)
SZA & Justin Timberlake,The Other Side
Young Thug & Gunna,Hot
Luke Bryan,One Margarita
Ava Max,Salt
Selena Gomez,Rare
Noah Cyrus & Leon Bridges,July
"Thomas Rhett & Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban",Be A Light
Jonas Brothers,Sucker
Ali Gatie,What If I Told You That I Love You
YNW Melly & Juice WRLD,Suicidal
Joel Corry,Lonely
Luke Combs,Even Though I'm Leaving
Maddie & Tae,Die From A Broken Heart
Apache 207,200 km/h
Summer Walker & Usher,Come Thru
Tones And I,Never Seen The Rain
Polo G & NLE Choppa & Stunna 4 Vegas,Go Stupid
YoungBoy Never Broke Again,Make No Sense
Juju & Loredana,Kein Wort
Florida Georgia Line,I Love My Country
Felix Jaehn & Vize & Miss Li,Close Your Eyes
Joker Bra & Vize,Baby
Ed Sheeran & Khalid,Beautiful People
Scotty McCreery,In Between
Lil Uzi Vert,P2
Jimmie Allen,Make Me Want To
Lil Nas X,Panini
Riton & Oliver Heldens & Vula,Turn Me On
NAV, Gunna & Travis Scott,Turks
Keith Urban,God Whispered Your Name
Alicia Keys,Underdog
Mariah Carey,All I Want For Christmas Is You
Megan Thee Stallion,B.I.T.C.H.
Idina Menzel & Aurora,Into The Unknown
Lil Baby & Gunna,Heatin Up
Capital Bra & Samra & Lea,110
DaBaby,VIBEZ
Jon Pardi,Heartache Medication
DaBaby & Lil Baby & Moneybagg Yo,Toes
Sam Fischer,This City
Jawsh 685 & Jason Derulo,Savage Love (Laxed - Siren Beat)
Lil Uzi Vert,Baby Pluto
Lil Uzi Vert,Myron
Harry Styles,Falling
LUM!X & Gabry Ponte,Monster
Sam Feldt & Rani,Post Malone
DripReport,Skechers
Jp Saxe & Julia Michaels,If The World Was Ending
Lil Baby,The Bigger Picture
Regard,Ride It.
Gradur & Heuss L'Enfoire,Ne reviens pas
Nathan Dawe & Jaykae,Flowers
Halsey,Graveyard
6ix9ine & Nicki Minaj,Trollz
Roddy Ricch & Gunna,Start Wit Me
Brenda Lee,Rockin' Around The Christmas Tree
Katy Perry,Daisies
Bausa & Joshi Mizu & Maxwell,Skifahren
Sam Smith & Demi Lovato,I'm Ready
BTS,On
S1mba & Dtg,Rover
Jhene Aiko & H.E.R.,B.S.
Polo G & Juice WRLD,Flex
Kelsea Ballerini,homecoming queen?
Becky Hill & Shift K3y,Better Off Without You
